SampleID	landscape	frag_unique_ID	fragment	Final_Bd_Load_log	Presence_Bd	Campanha	Data	Julian_date	species	Developmental_Mode	Season	Latitude	Longitude	GPS_UTM	Den_Dre	frag_percent_Dre	Tipo_drenagem	Ndrena	frag_Denborda	DenFrag	DenAPP	TamFrag_m2	frag_Split_pond	frag_Split_Stream_2nd	land_percent_CobVeg	percent_APP	percent_Frgmentos	land_DenBorda	DenFrag_2	DenAPP_2	N_Frag	land_Den_Dre_2	land_percent_Dre	percent_m_agua	percent_Dren_APP	Den_Dre_APP	land_ENND_Frag	ENND_APP	family	Landsc_ID	type	species_infection	type_season	reads_contam_removed	reads_contam_removed_005keep	rarefy_keep	observed_otus	faith_pd	pielou_e	shannon	unweighted_pc1_all	unweighted_pc2_all	weighted_pc1_all	weighted_pc2_all	bc_disper	jaccard_disper	Load_SQR	Julian_Date	Tam_Frag_Log	Residual_Final_Bd_Load_log	AntiFungal_Richness	TotalAntiFungal	Propor_TotalAntiFungal
RM013	SLP	B	F2	0	0	1	9/23/2018	18266	Rhinella ornata	AL	SECA	-23171155	-45293164	23K 469994 7437503	63.5209	9.4828	Npermanente	3	102.5248	89.773	12.7518	149904	199.5225	124.49	18.68	4.96	13.72	97.579	57.55	40.01	2993	2.26	95.1	0.05	4.6542	18.5184	44.08	59.97	Bufonidae	1	fragmented	Rhinella ornata0	fragmentedSECA	13170	10232	1	247	18.41972251	0.848287585	6.742501245	-0.042070733	0.00935505	0.105549847	0.271399296	0.627523536	0.590887047	0	3	5.175813222	NA	130	1502	0.751
RM014	SLP	B	F2	0	0	1	9/23/2018	18266	Haddadus binotatus	TD	SECA	-23171155	-45293164	23K 469994 7437503	63.5209	9.4828	Npermanente	3	102.5248	89.773	12.7518	149904	199.5225	124.49	18.68	4.96	13.72	97.579	57.55	40.01	2993	2.26	95.1	0.05	4.6542	18.5184	44.08	59.97	Craugastoridae	1	fragmented	Haddadus binotatus0	fragmentedSECA	12089	6530	1	321	26.34515918	0.838061611	6.978060913	-0.220167583	-0.024115819	6.89E-04	0.173052466	0.625869454	0.578473273	0	3	5.175813222	NA	103	721	0.3605
RM015	SLP	B	F2	0	0	1	9/23/2018	18266	Haddadus binotatus	TD	SECA	-23171155	-45293164	23K 469994 7437503	63.5209	9.4828	Npermanente	3	102.5248	89.773	12.7518	149904	199.5225	124.49	18.68	4.96	13.72	97.579	57.55	40.01	2993	2.26	95.1	0.05	4.6542	18.5184	44.08	59.97	Craugastoridae	1	fragmented	Haddadus binotatus0	fragmentedSECA	11972	6377	1	377	30.40951128	0.895097785	7.660623428	-0.261447036	-0.125506948	-0.014929839	0.213209412	0.604288165	0.568358639	0	3	5.175813222	NA	115	853	0.4265
RM017	SLP	C	F3	0	0	1	9/24/2018	18267	Bokermannohyla hylax	AL	SECA	-23219420	-45316120	23K 467656 7432155	34.4899	31.0616	Npermanente	5	211.9357	102.0148	109.9209	91470.37	1666.0075	189.91	18.68	4.96	13.72	97.579	57.55	40.01	2993	2.26	95.1	0.05	4.6542	18.5184	44.08	59.97	Hylidae	1	fragmented	Bokermannohyla hylax0	fragmentedSECA	13145	11632	1	88	11.01815443	0.443513272	2.864843655	0.205082466	-0.099126535	-0.049952225	-0.151879778	0.594516928	0.664267531	0	4	4.961280436	NA	48	1915	0.9575
RM018	SLP	C	F3	0	0	1	9/24/2018	18267	Bokermannohyla hylax	AL	SECA	-23219420	-45316120	23K 467656 7432155	34.4899	31.0616	Npermanente	5	211.9357	102.0148	109.9209	91470.37	1666.0075	189.91	18.68	4.96	13.72	97.579	57.55	40.01	2993	2.26	95.1	0.05	4.6542	18.5184	44.08	59.97	Hylidae	1	fragmented	Bokermannohyla hylax0	fragmentedSECA	5937	5867	1	23	4.864220047	0.078888151	0.356855438	0.375578459	0.013232167	-0.170298992	-0.267527516	0.653010612	0.7371838	0	4	4.961280436	NA	13	1971	0.9855
RM019	SLP	C	F3	0	0	1	9/24/2018	18267	Bokermannohyla hylax	AL	SECA	-23219420	-45316120	23K 467656 7432155	34.4899	31.0616	Npermanente	5	211.9357	102.0148	109.9209	91470.37	1666.0075	189.91	18.68	4.96	13.72	97.579	57.55	40.01	2993	2.26	95.1	0.05	4.6542	18.5184	44.08	59.97	Hylidae	1	fragmented	Bokermannohyla hylax0	fragmentedSECA	10023	9485	1	79	8.612468174	0.180533039	1.138040698	0.253372615	-0.110019269	-0.155756381	-0.228930493	0.623166135	0.664002982	0	4	4.961280436	NA	37	1911	0.9555
RM020	SLP	C	F3	0	0	1	9/24/2018	18267	Bokermannohyla hylax	AL	SECA	-23219420	-45316120	23K 467656 7432155	34.4899	31.0616	Npermanente	5	211.9357	102.0148	109.9209	91470.37	1666.0075	189.91	18.68	4.96	13.72	97.579	57.55	40.01	2993	2.26	95.1	0.05	4.6542	18.5184	44.08	59.97	Hylidae	1	fragmented	Bokermannohyla hylax0	fragmentedSECA	9988	4738	1	182	18.42792436	0.743292841	5.580490005	-0.014821438	-0.228654429	-0.081671017	0.040603993	0.603761549	0.637528934	0	4	4.961280436	NA	66	1359	0.6795
RM022	SLP	C	F3	0	0	1	9/24/2018	18267	Bokermannohyla hylax	AL	SECA	-23219420	-45316120	23K 467656 7432155	34.4899	31.0616	Npermanente	5	211.9357	102.0148	109.9209	91470.37	1666.0075	189.91	18.68	4.96	13.72	97.579	57.55	40.01	2993	2.26	95.1	0.05	4.6542	18.5184	44.08	59.97	Hylidae	1	fragmented	Bokermannohyla hylax0	fragmentedSECA	14308	7864	1	240	20.41295801	0.841397165	6.652835332	-0.092327886	-0.269695986	-0.108884028	0.235181995	0.660868741	0.61959264	0	4	4.961280436	NA	60	723	0.3615
RM023	SLP	C	F3	0	0	1	9/24/2018	18267	Bokermannohyla hylax	AL	SECA	-23219420	-45316120	23K 467656 7432155	34.4899	31.0616	Npermanente	5	211.9357	102.0148	109.9209	91470.37	1666.0075	189.91	18.68	4.96	13.72	97.579	57.55	40.01	2993	2.26	95.1	0.05	4.6542	18.5184	44.08	59.97	Hylidae	1	fragmented	Bokermannohyla hylax0	fragmentedSECA	8408	4819	1	285	22.66861985	0.848275229	6.917530197	-0.152617215	-0.197655412	-0.038365971	0.162984562	0.588317638	0.596274001	0	4	4.961280436	NA	81	903	0.4515
RM024	SLP	D	F4	0	0	1	9/25/2018	18268	Rhinella ornata	AL	SECA	-23215891	-45276012	23K 471759 7432554	57.1461	43.1596	Npermanente	8	392.7569	187.7072	205.0497	5960940	582.435	0	18.68	4.96	13.72	97.579	57.55	40.01	2993	2.26	95.1	0.05	4.6542	18.5184	44.08	59.97	Bufonidae	1	fragmented	Rhinella ornata0	fragmentedSECA	17781	13529	1	213	18.08595403	0.632036555	4.888619223	-0.088174645	0.0436781	0.103356807	0.007220395	0.648163246	0.590011608	0	5	6.77531475	NA	98	1442	0.721
RM025	SLP	D	F4	0	0	1	9/25/2018	18268	Bokermannohyla circumdata	AL	SECA	-23215891	-45276012	23K 471759 7432554	57.1461	43.1596	Npermanente	8	392.7569	187.7072	205.0497	5960940	582.435	0	18.68	4.96	13.72	97.579	57.55	40.01	2993	2.26	95.1	0.05	4.6542	18.5184	44.08	59.97	Hylidae	1	fragmented	Bokermannohyla circumdata0	fragmentedSECA	21591	19701	1	113	11.40955519	0.373038012	2.544186004	0.122680968	-0.051532412	0.103401145	-0.160227209	0.620258585	0.634156642	0	5	6.77531475	NA	62	1918	0.959
RM026	SLP	D	F4	0	0	1	9/25/2018	18268	Bokermannohyla circumdata	AL	SECA	-23215891	-45276012	23K 471759 7432554	57.1461	43.1596	Npermanente	8	392.7569	187.7072	205.0497	5960940	582.435	0	18.68	4.96	13.72	97.579	57.55	40.01	2993	2.26	95.1	0.05	4.6542	18.5184	44.08	59.97	Hylidae	1	fragmented	Bokermannohyla circumdata0	fragmentedSECA	13222	13116	1	22	3.557046927	0.296405743	1.321801142	0.349230227	0.035691834	-0.135383303	-0.128442943	0.760551823	0.746163473	0	5	6.77531475	NA	13	983	0.4915
RM027	SLP	E	F5	0	0	1	9/26/2018	18269	Boana faber	AL	SECA	-23269650	-45378530	23K 461284 7426579	35.1137	22.0904	Npermanente	1	112.7407	92.5902	20.1505	145944	2289.1775	216.34	18.68	4.96	13.72	97.579	57.55	40.01	2993	2.26	95.1	0.05	4.6542	18.5184	44.08	59.97	Hylidae	1	fragmented	Boana faber0	fragmentedSECA	5813	4419	1	218	18.52350038	0.718892084	5.584486216	-0.053800255	-0.160320792	-0.094156646	0.039193898	0.584992764	0.585793705	0	6	5.164186245	NA	90	1542	0.771
RM029	SLP	E	F5	0	0	1	9/26/2018	18269	Boana faber	AL	SECA	-23269650	-45378530	23K 461284 7426579	35.1137	22.0904	Npermanente	1	112.7407	92.5902	20.1505	145944	2289.1775	216.34	18.68	4.96	13.72	97.579	57.55	40.01	2993	2.26	95.1	0.05	4.6542	18.5184	44.08	59.97	Hylidae	1	fragmented	Boana faber0	fragmentedSECA	10341	7710	1	221	20.73717125	0.532905542	4.150216437	-0.127197904	-0.128339046	-0.096985344	-0.066607253	0.535151869	0.590712454	0	6	5.164186245	NA	92	1647	0.8235
RM030	SLP	E	F5	0	0	1	9/26/2018	18269	Rhinella ornata	AL	SECA	-23269650	-45378530	23K 461284 7426579	35.1137	22.0904	Npermanente	1	112.7407	92.5902	20.1505	145944	2289.1775	216.34	18.68	4.96	13.72	97.579	57.55	40.01	2993	2.26	95.1	0.05	4.6542	18.5184	44.08	59.97	Bufonidae	1	fragmented	Rhinella ornata0	fragmentedSECA	15119	12647	1	226	19.38891889	0.610111956	4.771184682	-0.108453712	0.071323384	-0.052142446	-0.023153437	0.618613949	0.572449637	0	6	5.164186245	NA	120	1590	0.795
RM031	SLP	E	F5	0	0	1	9/26/2018	18269	Rhinella ornata	AL	SECA	-23269650	-45378530	23K 461284 7426579	35.1137	22.0904	Npermanente	1	112.7407	92.5902	20.1505	145944	2289.1775	216.34	18.68	4.96	13.72	97.579	57.55	40.01	2993	2.26	95.1	0.05	4.6542	18.5184	44.08	59.97	Bufonidae	1	fragmented	Rhinella ornata0	fragmentedSECA	3799	2954	1	248	20.16388576	0.808232404	6.428839203	-0.114201032	-0.031815968	-0.045298256	0.194567992	0.552016176	0.566180815	0	6	5.164186245	NA	124	1545	0.7725
RM032	SLP	E	F5	0	0	1	9/26/2018	18269	Bokermannohyla circumdata	AL	SECA	-23269650	-45378530	23K 461284 7426579	35.1137	22.0904	Npermanente	1	112.7407	92.5902	20.1505	145944	2289.1775	216.34	18.68	4.96	13.72	97.579	57.55	40.01	2993	2.26	95.1	0.05	4.6542	18.5184	44.08	59.97	Hylidae	1	fragmented	Bokermannohyla circumdata0	fragmentedSECA	20082	17668	1	91	11.09848728	0.210770886	1.371653641	0.142453599	Developmental_Mode	-0.154465805	-0.227767819	0.601487934	0.670569319	0	6	5.164186245	NA	27	1866	0.933
RM033	SLP	E	F5	1.573868593	1	1	9/26/2018	18269	Ischnocnema henselli	TD	SECA	-23269650	-45378530	23K 461284 7426579	35.1137	22.0904	Npermanente	1	112.7407	92.5902	20.1505	145944	2289.1775	216.34	18.68	4.96	13.72	97.579	57.55	40.01	2993	2.26	95.1	0.05	4.6542	18.5184	44.08	59.97	Brachycephalidae	1	fragmented	Ischnocnema henselli1	fragmentedSECA	7010	5743	1	314	21.29230519	0.83464959	6.923101806	-0.165108293	0.065297582	0.005974791	0.085342862	0.529427595	0.547940892	6.040360601	6	5.164186245	-0.262837898	137	1388	0.694
RM034	SLP	E	F5	3.633878545	1	1	9/26/2018	18269	Ischnocnema henselli	TD	SECA	-23269650	-45378530	23K 461284 7426579	35.1137	22.0904	Npermanente	1	112.7407	92.5902	20.1505	145944	2289.1775	216.34	18.68	4.96	13.72	97.579	57.55	40.01	2993	2.26	95.1	0.05	4.6542	18.5184	44.08	59.97	Brachycephalidae	1	fragmented	Ischnocnema henselli1	fragmentedSECA	13500	11197	1	327	24.67501103	0.804119673	6.71692969	-0.191624428	-0.004752831	-0.015919199	0.083962943	0.510928864	0.552787039	65.59773057	6	5.164186245	1.797172053	139	1474	0.737
RM035	SLP	E	F5	2.006694101	1	1	9/26/2018	18269	Ischnocnema henselli	TD	SECA	-23269650	-45378530	23K 461284 7426579	35.1137	22.0904	Npermanente	1	112.7407	92.5902	20.1505	145944	2289.1775	216.34	18.68	4.96	13.72	97.579	57.55	40.01	2993	2.26	95.1	0.05	4.6542	18.5184	44.08	59.97	Brachycephalidae	1	fragmented	Ischnocnema henselli1	fragmentedSECA	22203	20396	1	225	17.5788447	0.411835879	3.217995441	-0.105327063	0.05774856	0.027095071	-0.164686011	0.554276424	0.55927825	10.02762755	6	5.164186245	0.16998761	99	1634	0.817
RM036	SLP	E	F5	2.129797488	1	1	9/26/2018	18269	Ischnocnema henselli	TD	SECA	-23269650	-45378530	23K 461284 7426579	35.1137	22.0904	Npermanente	1	112.7407	92.5902	20.1505	145944	2289.1775	216.34	18.68	4.96	13.72	97.579	57.55	40.01	2993	2.26	95.1	0.05	4.6542	18.5184	44.08	59.97	Brachycephalidae	1	fragmented	Ischnocnema henselli1	fragmentedSECA	12999	12391	1	140	13.69462887	0.450043324	3.20848623	0.015061237	0.049382401	0.003321337	-0.149941379	0.619758779	0.600966809	11.56863867	6	5.164186245	0.293090997	76	1783	0.8915
RM037	SLP	E	F5	1.64573173	1	1	9/26/2018	18269	Ischnocnema henselli	TD	SECA	-23269650	-45378530	23K 461284 7426579	35.1137	22.0904	Npermanente	1	112.7407	92.5902	20.1505	145944	2289.1775	216.34	18.68	4.96	13.72	97.579	57.55	40.01	2993	2.26	95.1	0.05	4.6542	18.5184	44.08	59.97	Brachycephalidae	1	fragmented	Ischnocnema henselli1	fragmentedSECA	16478	15697	1	178	16.6427554	0.449896819	3.363308692	-0.051344909	0.091102336	0.328026054	-0.220611146	0.588401871	0.583619636	6.575067022	6	5.164186245	-0.190974761	91	1230	0.615
RM038	SLP	E	F5	0.684856604	1	1	9/26/2018	18269	Ischnocnema henselli	TD	SECA	-23269650	-45378530	23K 461284 7426579	35.1137	22.0904	Npermanente	1	112.7407	92.5902	20.1505	145944	2289.1775	216.34	18.68	4.96	13.72	97.579	57.55	40.01	2993	2.26	95.1	0.05	4.6542	18.5184	44.08	59.97	Brachycephalidae	1	fragmented	Ischnocnema henselli1	fragmentedSECA	5176	4359	1	278	21.03907683	0.723823511	5.876680431	-0.17929427	0.060734106	0.10224723	-0.013774691	0.529058769	0.562803615	1.959623763	6	5.164186245	-1.151849887	116	1377	0.6885
RM039	SLP	E	F5	1.217852247	1	1	9/26/2018	18269	Ischnocnema henselli	TD	SECA	-23269650	-45378530	23K 461284 7426579	35.1137	22.0904	Npermanente	1	112.7407	92.5902	20.1505	145944	2289.1775	216.34	18.68	4.96	13.72	97.579	57.55	40.01	2993	2.26	95.1	0.05	4.6542	18.5184	44.08	59.97	Brachycephalidae	1	fragmented	Ischnocnema henselli1	fragmentedSECA	4835	3429	1	288	23.44452074	0.794466813	6.490734278	-0.212119442	0.039813369	0.117972381	0.043298428	0.529377992	0.562311626	3.938781378	6	5.164186245	-0.618854244	119	1326	0.663
RM040	SLP	E	F5	1.687214098	1	1	9/26/2018	18269	Ischnocnema henselli	TD	SECA	-23269650	-45378530	23K 461284 7426579	35.1137	22.0904	Npermanente	1	112.7407	92.5902	20.1505	145944	2289.1775	216.34	18.68	4.96	13.72	97.579	57.55	40.01	2993	2.26	95.1	0.05	4.6542	18.5184	44.08	59.97	Brachycephalidae	1	fragmented	Ischnocnema henselli1	fragmentedSECA	23035	21385	1	178	17.16940202	0.357505924	2.672618986	-0.082514318	-0.00066793	0.065238801	-0.203440893	0.581266305	0.586296218	6.903963012	6	5.164186245	-0.149492394	86	1638	0.819
RM041	SLP	E	F5	1.050288144	1	1	9/26/2018	18269	Ischnocnema henselli	TD	SECA	-23269650	-45378530	23K 461284 7426579	35.1137	22.0904	Npermanente	1	112.7407	92.5902	20.1505	145944	2289.1775	216.34	18.68	4.96	13.72	97.579	57.55	40.01	2993	2.26	95.1	0.05	4.6542	18.5184	44.08	59.97	Brachycephalidae	1	fragmented	Ischnocnema henselli1	fragmentedSECA	5707	4631	1	306	23.55494886	0.75657699	6.247349638	-0.185679895	0.009683995	0.131966536	0.028350404	0.527541222	0.557195579	3.198066811	6	5.164186245	-0.786418348	133	1278	0.639
RM042	SLP	E	F5	2.068413804	1	1	9/26/2018	18269	Ischnocnema henselli	TD	SECA	-23269650	-45378530	23K 461284 7426579	35.1137	22.0904	Npermanente	1	112.7407	92.5902	20.1505	145944	2289.1775	216.34	18.68	4.96	13.72	97.579	57.55	40.01	2993	2.26	95.1	0.05	4.6542	18.5184	44.08	59.97	Brachycephalidae	1	fragmented	Ischnocnema henselli1	fragmentedSECA	39796	38913	1	126	11.9382912	0.329824828	2.301280151	0.050657781	0.124478045	0.373363978	-0.27416644	0.609896625	0.609749669	10.77318079	6	5.164186245	0.231707312	63	1211	0.6055
RM043	SLP	E	F5	1.37827456	1	1	9/26/2018	18269	Ischnocnema henselli	TD	SECA	-23269650	-45378530	23K 461284 7426579	35.1137	22.0904	Npermanente	1	112.7407	92.5902	20.1505	145944	2289.1775	216.34	18.68	4.96	13.72	97.579	57.55	40.01	2993	2.26	95.1	0.05	4.6542	18.5184	44.08	59.97	Brachycephalidae	1	fragmented	Ischnocnema henselli1	fragmentedSECA	20361	19172	1	170	15.85059131	0.34976152	2.591519837	-0.005614567	0.057679872	0.102039152	-0.221116315	0.587503259	0.584361796	4.784685285	6	5.164186245	-0.458431932	84	1591	0.7955
RM044	SLP	E	F5	1.483460126	1	1	9/26/2018	18269	Ischnocnema henselli	TD	SECA	-23269650	-45378530	23K 461284 7426579	35.1137	22.0904	Npermanente	1	112.7407	92.5902	20.1505	145944	2289.1775	216.34	18.68	4.96	13.72	97.579	57.55	40.01	2993	2.26	95.1	0.05	4.6542	18.5184	44.08	59.97	Brachycephalidae	1	fragmented	Ischnocnema henselli1	fragmentedSECA	13057	9795	1	363	26.96784952	0.851839436	7.243894123	-0.240268207	-0.069148993	-0.023632637	0.143599629	0.538103355	0.545775035	5.425963957	6	5.164186245	-0.353246366	145	1292	0.646
RM045	SLP	B	F2	0	0	1	9/27/2018	18270	Boana faber	AL	SECA	-23171155	-45293164	23K 469994 7437503	63.5209	9.4828	Npermanente	3	102.5248	89.773	12.7518	149904	199.5225	124.49	18.68	4.96	13.72	97.579	57.55	40.01	2993	2.26	95.1	0.05	4.6542	18.5184	44.08	59.97	Hylidae	1	fragmented	Boana faber0	fragmentedSECA	8918	6048	1	221	19.10710363	0.702045297	5.467460366	-0.076776092	-0.172021748	-0.087407204	0.129033308	0.639429637	0.597181221	0	7	5.175813222	NA	82	1257	0.6285
RM047	SLP	B	F2	0	0	1	9/27/2018	18270	Boana faber	AL	SECA	-23171155	-45293164	23K 469994 7437503	63.5209	9.4828	Npermanente	3	102.5248	89.773	12.7518	149904	199.5225	124.49	18.68	4.96	13.72	97.579	57.55	40.01	2993	2.26	95.1	0.05	4.6542	18.5184	44.08	59.97	Hylidae	1	fragmented	Boana faber0	fragmentedSECA	13427	8342	1	156	16.67692753	0.628587346	4.579511645	-0.014381902	-0.24858159	-0.103611764	0.185330307	0.717129411	0.644539675	0	7	5.175813222	NA	46	260	0.13
RM049	SLP	B	F2	0	0	1	9/27/2018	18270	Ischnocnema henselli	TD	SECA	-23171155	-45293164	23K 469994 7437503	63.5209	9.4828	Npermanente	3	102.5248	89.773	12.7518	149904	199.5225	124.49	18.68	4.96	13.72	97.579	57.55	40.01	2993	2.26	95.1	0.05	4.6542	18.5184	44.08	59.97	Brachycephalidae	1	fragmented	Ischnocnema henselli0	fragmentedSECA	43281	42819	1	59	8.349888781	0.204894593	1.205321751	0.195933889	0.030744158	0.166765923	-0.297213011	0.640306261	0.674542202	0	7	5.175813222	NA	33	1564	0.782
RM050	SLP	B	F2	0	0	1	9/27/2018	18270	Ischnocnema henselli	TD	SECA	-23171155	-45293164	23K 469994 7437503	63.5209	9.4828	Npermanente	3	102.5248	89.773	12.7518	149904	199.5225	124.49	18.68	4.96	13.72	97.579	57.55	40.01	2993	2.26	95.1	0.05	4.6542	18.5184	44.08	59.97	Brachycephalidae	1	fragmented	Ischnocnema henselli0	fragmentedSECA	20071	17436	1	209	19.86403868	0.548465575	4.227221162	-0.173028545	0.020211776	0.202189112	-0.106621265	0.565307309	0.579221654	0	7	5.175813222	NA	90	1326	0.663
RM051	SLP	B	F2	0	0	1	9/27/2018	18270	Ischnocnema henselli	TD	SECA	-23171155	-45293164	23K 469994 7437503	63.5209	9.4828	Npermanente	3	102.5248	89.773	12.7518	149904	199.5225	124.49	18.68	4.96	13.72	97.579	57.55	40.01	2993	2.26	95.1	0.05	4.6542	18.5184	44.08	59.97	Brachycephalidae	1	fragmented	Ischnocnema henselli0	fragmentedSECA	3604	2699	1	217	18.86269711	0.8260927	6.411760817	-0.090250935	-0.011266755	0.195754721	0.084867188	0.600457453	0.585269465	0	7	5.175813222	NA	95	1224	0.612
